epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,561.021,0.70322,0.39336,0.90466,0.97403,0.98211,0.99019,0.74633,0.75227,0.37337,0.89065,0.000341077,0.000341077,0.000341077
72,568.903,0.69803,0.39545,0.89738,0.97849,0.98312,0.99141,0.74193,0.75702,0.37576,0.89303,0.000330078,0.000330078,0.000330078
73,576.817,0.72426,0.4059,0.9047,0.98403,0.97677,0.99202,0.7426,0.77354,0.37403,0.89545,0.000319079,0.000319079,0.000319079
74,584.792,0.70263,0.39926,0.9142,0.98855,0.9798,0.99253,0.74632,0.77891,0.3719,0.89563,0.00030808,0.00030808,0.00030808
75,592.57,0.69941,0.39184,0.90436,0.98537,0.98191,0.99364,0.74239,0.7558,0.36412,0.89063,0.000297081,0.000297081,0.000297081
76,600.156,0.69682,0.3969,0.90429,0.9862,0.98131,0.99232,0.74315,0.76628,0.37266,0.89167,0.000286083,0.000286083,0.000286083
77,608.155,0.69332,0.38486,0.90553,0.98965,0.98399,0.9937,0.73877,0.7738,0.36565,0.89192,0.000275084,0.000275084,0.000275084
78,616.175,0.68933,0.38875,0.90025,0.98757,0.98037,0.99226,0.75239,0.74892,0.35609,0.8871,0.000264085,0.000264085,0.000264085
79,624.077,0.69384,0.38269,0.89532,0.98604,0.98524,0.9939,0.75499,0.72951,0.34881,0.87926,0.000253086,0.000253086,0.000253086
80,632.056,0.68325,0.38303,0.90328,0.98503,0.98524,0.99369,0.75569,0.73238,0.34492,0.883,0.000242087,0.000242087,0.000242087
81,639.942,0.68222,0.37491,0.89978,0.98895,0.98417,0.99364,0.75709,0.73214,0.34417,0.88113,0.000231088,0.000231088,0.000231088
82,648.034,0.67803,0.3734,0.89202,0.98666,0.98591,0.99325,0.75252,0.73428,0.34198,0.88356,0.000220089,0.000220089,0.000220089
83,655.93,0.67259,0.37346,0.89966,0.98637,0.9891,0.9941,0.76343,0.71272,0.34722,0.87626,0.00020909,0.00020909,0.00020909
84,663.935,0.6641,0.37293,0.88827,0.98309,0.98852,0.99402,0.7594,0.72363,0.34279,0.87747,0.000198091,0.000198091,0.000198091
85,671.77,0.66512,0.37043,0.89251,0.98722,0.98167,0.99322,0.76922,0.71811,0.33687,0.87519,0.000187092,0.000187092,0.000187092
86,679.616,0.65862,0.36452,0.89714,0.98756,0.9804,0.99364,0.76721,0.71531,0.33526,0.87629,0.000176094,0.000176094,0.000176094
87,687.566,0.66599,0.36229,0.88973,0.98913,0.98089,0.99374,0.76324,0.7204,0.34047,0.87654,0.000165095,0.000165095,0.000165095
88,695.25,0.65525,0.35906,0.89343,0.98762,0.9861,0.99382,0.7638,0.71682,0.3365,0.87659,0.000154096,0.000154096,0.000154096
89,703.146,0.65443,0.36075,0.89021,0.98925,0.9862,0.99396,0.76787,0.70697,0.33537,0.87301,0.000143097,0.000143097,0.000143097
90,711.008,0.65531,0.35722,0.8963,0.98825,0.98336,0.99222,0.76342,0.71523,0.33704,0.87667,0.000132098,0.000132098,0.000132098
91,748.48,0.70911,0.35631,0.89524,0.98881,0.98633,0.9937,0.75597,0.72709,0.34096,0.87978,0.000121099,0.000121099,0.000121099
92,756.334,0.69273,0.34747,0.89375,0.99333,0.98601,0.99385,0.76702,0.70717,0.34084,0.87469,0.0001101,0.0001101,0.0001101
93,764.238,0.68602,0.34213,0.89116,0.98828,0.99114,0.99361,0.76251,0.71676,0.33027,0.87608,9.91012e-05,9.91012e-05,9.91012e-05
94,772.01,0.68247,0.34121,0.88778,0.98807,0.98964,0.99391,0.76868,0.70528,0.32785,0.87169,8.81023e-05,8.81023e-05,8.81023e-05
95,779.884,0.68109,0.33505,0.88715,0.99073,0.98418,0.9938,0.77468,0.68787,0.32501,0.8674,7.71034e-05,7.71034e-05,7.71034e-05
96,787.684,0.67339,0.33705,0.89108,0.99003,0.98579,0.99347,0.77241,0.68694,0.32547,0.86745,6.61045e-05,6.61045e-05,6.61045e-05
97,795.688,0.66066,0.33302,0.87715,0.9895,0.98609,0.99343,0.7691,0.69272,0.32729,0.86902,5.51056e-05,5.51056e-05,5.51056e-05
98,803.334,0.67305,0.33629,0.88276,0.9888,0.98658,0.99393,0.76968,0.69821,0.3276,0.86889,4.41067e-05,4.41067e-05,4.41067e-05
99,811.226,0.66043,0.33034,0.8843,0.99017,0.98539,0.99401,0.77079,0.69588,0.32519,0.86799,3.31078e-05,3.31078e-05,3.31078e-05
100,819.073,0.6644,0.32548,0.88772,0.9895,0.98627,0.99398,0.77693,0.68414,0.32127,0.86553,2.21089e-05,2.21089e-05,2.21089e-05
