epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,2168.37,0.68284,0.36775,0.89144,0.95737,0.97893,0.99339,0.83328,0.64295,0.31233,0.85883,0.000468044,0.000468044,0.000468044
51,2199.32,0.67361,0.36508,0.88896,0.98169,0.9859,0.99295,0.83557,0.63482,0.30972,0.85587,0.000459045,0.000459045,0.000459045
52,2230.09,0.67118,0.36554,0.89141,0.9759,0.9887,0.99329,0.82549,0.64537,0.31397,0.86021,0.000450046,0.000450046,0.000450046
53,2260.94,0.6586,0.35728,0.88841,0.97676,0.98976,0.99447,0.82936,0.64503,0.31288,0.86142,0.000441047,0.000441047,0.000441047
54,2291.63,0.66013,0.35741,0.8878,0.98005,0.98336,0.99357,0.8336,0.63633,0.30163,0.85784,0.000432048,0.000432048,0.000432048
55,2322.53,0.65026,0.35225,0.88243,0.96887,0.9886,0.99373,0.83036,0.63206,0.29806,0.85299,0.000423049,0.000423049,0.000423049
56,2353.33,0.64883,0.35139,0.88096,0.98153,0.99215,0.99477,0.83522,0.61681,0.29864,0.8506,0.000414049,0.000414049,0.000414049
57,2384.35,0.64803,0.34905,0.88186,0.97946,0.98807,0.99402,0.82933,0.62454,0.29655,0.85404,0.00040505,0.00040505,0.00040505
58,2415.28,0.63914,0.34682,0.87689,0.98302,0.98457,0.99456,0.82793,0.62067,0.29448,0.85253,0.000396051,0.000396051,0.000396051
59,2446.14,0.63469,0.34294,0.87979,0.98188,0.98699,0.99314,0.83995,0.61329,0.29232,0.85395,0.000387052,0.000387052,0.000387052
60,2477.05,0.63408,0.34091,0.88103,0.98364,0.99045,0.99362,0.8399,0.61418,0.29113,0.85086,0.000378053,0.000378053,0.000378053
61,2508.11,0.63325,0.34161,0.88043,0.98532,0.9879,0.9937,0.84422,0.60478,0.2899,0.84768,0.000369054,0.000369054,0.000369054
62,2539.1,0.62696,0.33796,0.87673,0.98768,0.99073,0.9941,0.84581,0.61061,0.28996,0.84886,0.000360055,0.000360055,0.000360055
63,2569.98,0.61894,0.33066,0.87378,0.98564,0.98929,0.99458,0.84251,0.60793,0.29231,0.85003,0.000351056,0.000351056,0.000351056
64,2600.85,0.62673,0.33428,0.87568,0.98008,0.98966,0.99336,0.84352,0.59878,0.28987,0.8452,0.000342057,0.000342057,0.000342057
65,2631.72,0.61482,0.3301,0.87203,0.98215,0.98868,0.99216,0.84112,0.59561,0.29044,0.84435,0.000333058,0.000333058,0.000333058
66,2663.07,0.60685,0.32639,0.87211,0.98256,0.99101,0.99378,0.84974,0.58917,0.28735,0.8416,0.000324058,0.000324058,0.000324058
67,2693.72,0.60516,0.32322,0.86831,0.98246,0.99032,0.99376,0.85254,0.58049,0.28075,0.84114,0.000315059,0.000315059,0.000315059
68,2724.3,0.60249,0.32371,0.87248,0.98286,0.98917,0.99418,0.85689,0.57814,0.27896,0.84048,0.00030606,0.00030606,0.00030606
69,2755.14,0.60561,0.32157,0.86751,0.98623,0.9906,0.99462,0.84667,0.5786,0.27316,0.84248,0.000297061,0.000297061,0.000297061
70,2785.69,0.59464,0.31949,0.86629,0.98389,0.99188,0.99416,0.85524,0.58182,0.28069,0.84386,0.000288062,0.000288062,0.000288062
71,2816.52,0.59036,0.31605,0.86331,0.98378,0.99173,0.9946,0.85122,0.58554,0.28238,0.83933,0.000279063,0.000279063,0.000279063
